Date, PM2.5, PM10, O3, NO2
1/5/2021,49,24,18,5
2/5/2021,53,31,14,6
3/5/2021,59,38,25,7
4/5/2021,68,34,23,6
5/5/2021,67,29,15,6
6/5/2021,61,26,17,6
7/5/2021,54,30,19,6
8/5/2021,58,26,18,6
9/5/2021,59,31,19,8
10/5/2021,66,29,15,7
11/5/2021,66, , , 
1/4/2021,92,31,15,9
2/4/2021,60,43,23,7
3/4/2021,85,34,13,10
4/4/2021,73,33,14,8
5/4/2021,68,45,19,9
6/4/2021,88,44,14,12
7/4/2021,89,50,19,12
8/4/2021,98,49,23,12
9/4/2021,98,51,23,7
10/4/2021,110,47,24,9
11/4/2021,99,42,17,9
12/4/2021,94,41,17,9
13/4/2021,82,37,16,6
14/4/2021,78,33,20,7
15/4/2021,70,33,20,6
16/4/2021,73,32,21,5
17/4/2021,73,35,16,8
18/4/2021,75,21,12,7
19/4/2021,47,29,14,7
20/4/2021,56,26,17,6
21/4/2021,55,33,20,6
22/4/2021,68,35,20,5
23/4/2021,73,38,19,6
24/4/2021,83,35,21,3
25/4/2021,78,38,19,6
26/4/2021,81,27,19,5
27/4/2021,58,30,21,4
28/4/2021,70,21,15,5
29/4/2021,46,25,16,6
30/4/2021,57,22,18,6
1/3/2021,132,60,21,10
2/3/2021,111,48,14,8
3/3/2021,97,36,17,7
4/3/2021,73,50,16,13
5/3/2021,92,50,25,10
6/3/2021,91,54,24,10
7/3/2021,100,47,17,12
8/3/2021,98,61,23,11
9/3/2021,140,72,21,16
10/3/2021,143,70,23,13
11/3/2021,146,65,22,11
12/3/2021,138,64,22,12
13/3/2021,128,65,23,10
14/3/2021,141,74,27,15
15/3/2021,156,70,23,13
16/3/2021,147,71,24,13
17/3/2021,147,73,31,11
18/3/2021,151,74,31,11
19/3/2021,157,70,28,10
20/3/2021,153,68,27,7
21/3/2021,136,34,16,7
22/3/2021,63,38,19,9
23/3/2021,72,58,27,15
24/3/2021,123,63,6,19
25/3/2021,130, , , 
1/2/2021,113,53,19,9
2/2/2021,88,55,20,7
3/2/2021,104,54,17,11
4/2/2021,96,53,17,13
5/2/2021,94,61,19,15
6/2/2021,104,56,20,11
7/2/2021,105,68,19,15
8/2/2021,127,45,6,10
9/2/2021,83,31,14,10
10/2/2021,60,46,18,14
11/2/2021,89,53,25,12
12/2/2021,104,56,25,14
13/2/2021,113,59,28,13
14/2/2021,119,62,26,16
15/2/2021,125,73,29,14
16/2/2021,145,70,20,11
17/2/2021,141,50,19,6
18/2/2021,94,47,19,8
19/2/2021,92,48,21,10
20/2/2021,93,66,24,17
21/2/2021,127,78,30,22
22/2/2021,141,75,32,19
23/2/2021,145,75,28,17
24/2/2021,154,68,21,15
25/2/2021,150,66,23,16
26/2/2021,142,64,23,6
27/2/2021,154, , , 
4/1/2021,77,53,20,11
5/1/2021,112,42,19,12
6/1/2021,90,46,21,11
7/1/2021,91,36,21,6
8/1/2021,63,30,20,6
9/1/2021,55,34,19,7
10/1/2021,71,41,19,6
11/1/2021,74,55,18,8
12/1/2021,99,63,23,15
13/1/2021,120,78,30,21
14/1/2021,147,80,24,20
15/1/2021,144,77,28,22
16/1/2021,151,67,22,11
17/1/2021,117,52,23,12
18/1/2021,105,59,22,14
19/1/2021,120,75,27,26
20/1/2021,148,81,23,24
21/1/2021,144,81,23,26
22/1/2021,150,75,22,19
23/1/2021,141,79,24,21
24/1/2021,151,86,23,28
25/1/2021,152,74,21,17
26/1/2021,139,61,18,12
27/1/2021,111,65,18,15
28/1/2021,119,50,18,7
29/1/2021,81,56,23,9
30/1/2021,107,57,21,12
31/1/2021,113,61,19,14
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
